superficie,precipitations,temperature,type_sol,culture,rendement
14.554425309821815,443.9963771423496,16.393632725653298,sable,orge,28.34004033873897
9.046800706458054,369.7118758917911,13.750154314555697,limon,orge,26.526093505933364
5.61460285904292,540.5641736154923,23.450532678337385,sable,blé,35.3698773157172
5.247914532927936,577.0590479350408,13.9021479691361,sable,blé,37.63770468417764
17.199053588004084,379.8390816876878,21.553757850357186,sable,maïs,50.91312497966125
18.691333659165828,461.68032228665606,22.044783527592514,argile,maïs,44.33375527754277
14.099536636507699,432.82584869235944,29.24846186248762,argile,orge,25.969485912674045
15.942448414759976,579.3051947943466,11.445305310597536,limon,orge,34.48448650164769
13.154374871981343,312.1532133565304,19.99945647317237,sable,orge,24.1619068122062
19.026086356816524,519.6018586969683,24.881949585652965,sable,blé,34.6780546803917
17.237803311822983,484.311974084699,13.544534809493175,argile,blé,31.307311091874716
5.041077502552222,308.5096095340563,17.761334635690385,limon,blé,37.19820089216198
17.86106414881354,515.7659318480221,11.257909969099426,limon,blé,32.911812286371294
5.5037836295819655,304.79751885707157,24.517617275515533,sable,orge,26.500086976181738
15.94483169644916,527.3853007069284,11.755357735189735,argile,maïs,48.65773065676398
7.634834309038386,453.8276169786234,17.90183416715935,limon,orge,32.15865118311992
17.9476838352483,578.7312662391018,27.470452622414644,sable,blé,32.17916745823064
13.121918303736376,319.8247490172224,19.446006735000232,limon,maïs,46.03796168133102
9.495678358060772,552.3951838837149,28.25243867281771,argile,blé,32.73220334294919
11.340308317964876,320.00700263013044,25.31834235477745,sable,blé,32.10683963124376
5.424795067181945,403.29299364123756,28.306479202235316,limon,orge,23.60927376172538
6.864249147493459,429.08961958435,12.548060180978126,argile,orge,20.915823207441736
15.059366220404454,589.818624235221,11.471258106612641,argile,blé,36.07481868252732
14.70784267361375,468.6695526685371,11.406525071384362,sable,maïs,51.50257050122227
14.230776672218807,377.6593779512797,27.377085886946386,limon,orge,23.018657178330894
10.755163313928252,372.5027142283035,22.681399586948864,limon,maïs,47.955096962443804
19.958149036838165,566.435496197754,19.93143387597706,limon,orge,33.39526074908537
19.71253008164345,367.7608285251973,13.270868323929605,sable,blé,32.93064064362564
15.28312976721042,337.36641175058503,23.474668754545473,sable,blé,25.235991425500522
14.756889144017244,386.49922710227327,16.36034775691596,sable,blé,36.97437554498836
15.326700958564102,475.83691944381985,24.217597265318897,limon,maïs,50.50061970960118
10.833821359686556,466.2271506519803,19.207106577346494,argile,blé,32.66483763703459
7.026447575336168,542.9132327738333,20.14939721089054,argile,blé,41.13831072638776
15.822325102911226,468.14278560185573,25.793314649197406,limon,maïs,45.578234936999905
12.880314837135888,386.52636432936316,11.854909510467614,argile,maïs,45.76269527219185
9.653628133384334,423.8689028042678,21.57517006647005,argile,blé,31.537206734891324
12.287530382476836,545.4362912912732,13.94469894591737,limon,maïs,54.958817288567566
18.342317515235003,487.9519387259261,26.162735036271364,argile,orge,24.097857936009564
19.010652739343747,587.7232928092326,19.7769207225852,limon,orge,36.67506487263944
10.366927950636054,410.8213233275043,29.773906667356393,limon,blé,26.594675822627
13.572947460946414,465.78345315638614,13.658866493514374,argile,orge,33.08127594421713
9.828040866139133,478.1772604839505,29.260382802485346,sable,maïs,47.41881749154294
13.914500452995451,554.4873624825179,26.01834073217218,argile,maïs,47.82207385125023
10.068668382607,343.6420614559595,19.625209931505374,sable,maïs,49.22687718582085
10.874285007922419,421.953101024438,26.270681283592708,sable,orge,21.05846126880637
18.354115280071884,572.9876884986891,22.056978104822328,limon,blé,38.91537569932665
8.407363903000697,312.92006657046124,23.102421279827606,limon,maïs,44.13662286055022
14.347807170290636,546.8118840544506,28.273815254147777,argile,orge,25.82678735525414
6.2602301537357725,424.6152112113674,11.305408328225827,argile,maïs,52.348203869879846
17.489662214800966,548.9411955834308,26.699764079168013,limon,maïs,51.14859172871594
16.80647461233025,302.9863682421876,17.636295599324775,argile,blé,33.07822497691717
8.590541644894282,409.5138473274812,16.51091232201409,argile,orge,34.235514713080356
18.14726346216056,323.58901114969194,29.880535424199685,sable,blé,30.74979782388423
5.878520522077915,495.78437290099157,25.623810041527562,argile,blé,36.07906434282278
10.041755908184905,382.1547295798672,19.710702775591756,limon,blé,30.110291947390273
7.254192003422586,510.79562119793593,18.452567928495625,limon,maïs,49.99971337659612
